id,image,label,sample,m_majorAxis,Age
21,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [2337,Tanytarsus lugens,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [2337,819.459778,1572
22,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [2337,Particles,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [2337,67.560829,1572
23,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [2337,Psectrocladius spp,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [2337,443.8172,1572
24,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [2337,Psectrocladius spp,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [2337,683.641113,1572
25,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [2337,Micropsectra radialis,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [2337,418.746643,1572
26,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [2337,Background,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [2337,68.208885,1572
27,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [2337,Corynoneura spp,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [2337,424.729797,1572
28,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [2337,Pollen,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [2337,72.223579,1572
29,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [24803,Particles,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [24803,122.214516,1572
30,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [24803,Fragmented hc,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [24803,113.017883,1572
31,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [24803,Blurry specimens,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [24803,111.224289,1572
32,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [24803,Blurry specimens,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [24803,196.482681,1572
33,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [24803,Background,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [24803,69.679916,1572
34,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [24803,Blurry specimens,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [24803,281.954498,1572
35,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [24803,Background,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [24803,233.249771,1572
36,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [24803,Background,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [24803,201.346375,1572
37,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [24803,Corynoneura spp,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [24803,433.478394,1572
38,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [24803,Fragmented hc,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [24803,884.358276,1572
39,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [24803,Psectrocladius spp,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [24803,584.540466,1572
40,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [24803,Fragmented hc,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [24803,93.372284,1572
41,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [24803,Corynoneura spp,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [24803,392.268005,1572
42,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [24803,Psectrocladius spp,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [24803,492.936615,1572
43,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [24803,Fragmented hc,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [24803,255.713547,1572
44,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [24803,Background,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [24803,69.714996,1572
45,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [26424,Psectrocladius spp,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [26424,466.731354,1572
46,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [26424,Background,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [26424,142.902786,1572
47,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [26424,Diatom,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [26424,70.826294,1572
48,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [26424,Background,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [26424,132.590546,1572
49,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [26424,Fragmented hc,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [26424,223.453232,1572
50,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [26424,Fragmented hc,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [26424,9222.886719,1572
51,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [26424,Fragmented hc,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [26424,162.210632,1572
52,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [26424,Multiple,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [26424,480.543152,1572
53,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [26424,Fragmented hc,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [26424,484.01474,1572
54,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [26424,Micropsectra radialis,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [26424,542.675781,1572
55,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [26424,Fragmented hc,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [26424,204.923141,1572
56,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [26424,Fragmented hc,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [26424,720.371277,1572
57,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [26424,Particles,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [26424,116.416061,1572
58,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [26424,Background,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [26424,118.020874,1572
59,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [26424,Micropsectra radialis,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [26424,930.835571,1572
60,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [57954,Psectrocladius spp,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [57954,444.125519,1572
61,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [57954,Psectrocladius spp,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [57954,212.306091,1572
62,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [57954,Psectrocladius spp,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [57954,554.212646,1572
63,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [57954,Particles,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [57954,184.300079,1572
64,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [57954,Fragmented hc,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [57954,363.595978,1572
65,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [57954,Fragmented hc,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [57954,585.898254,1572
66,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [57954,Background,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [57954,202.463593,1572
67,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [57954,Fragmented hc,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [57954,32.103561,1572
68,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [57954,Background,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [57954,33.329781,1572
69,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [57954,Pollen,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [57954,43.242008,1572
70,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [57954,Corynoneura spp,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [57954,192.017914,1572
71,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [57954,Fragmented hc,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [57954,403.984619,1572
72,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [57954,Fragmented hc,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [57954,567.165405,1572
73,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [57954,unsure,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [57954,492.340424,1572
74,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [57954,Orthocladiinae Diamesinae,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [57954,521.988464,1572
75,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [57954,Blurry specimens,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [57954,338.035248,1572
76,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [57954,Background,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [57954,335.392029,1572
77,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [57954,Background,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [57954,96.913551,1572
78,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [57954,Background,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [57954,138.549606,1572
79,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [57954,Micropsectra radialis,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [57954,890.110229,1572
80,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [57954,Micropsectra radialis,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [57954,409.403687,1572
81,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [57954,Particles,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [57954,97.031265,1572
82,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [57954,Particles,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [57954,76.170074,1572
83,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [57954,Particles,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [57954,136.982178,1572
84,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [57954,Background,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [57954,169.335007,1572
85,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [57954,Pollen,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [57954,93.176292,1572
86,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [57954,Particles,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [57954,119.824242,1572
87,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [59612,Background,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [59612,158.032608,1572
88,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [59612,Background,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [59612,263.43222,1572
89,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [59612,Background,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [59612,265.336304,1572
90,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [59612,Background,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [59612,140.186417,1572
91,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [59612,Background,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [59612,179.214645,1572
92,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [59612,Background,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [59612,164.762619,1572
93,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [59612,Background,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [59612,263.10022,1572
94,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [59612,Background,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [59612,119.685127,1572
95,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [59612,Background,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [59612,361.565979,1572
96,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [59612,Chaoborus th,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [59612,102.738762,1572
97,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [59612,Background,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [59612,234.664825,1572
98,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [59612,Background,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [59612,150.160507,1572
99,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [59612,Background,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [59612,282.760498,1572
100,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [59612,Background,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [59612,92.594345,1572
101,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [59612,Background,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [59612,83.514748,1572
102,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [59612,Background,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [59612,408.779144,1572
103,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [59612,Background,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [59612,142.146698,1572
104,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [59612,Background,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [59612,257.910065,1572
105,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [59612,Background,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [59612,113.89019,1572
106,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [59612,Blurry specimens,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [59612,764.475342,1572
107,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [59612,Background,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 1 [59612,258.109833,1572
108,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 2 [1839,Background,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 2 [1839,108.089722,1572
109,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 2 [1839,Background,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 2 [1839,191.314392,1572
110,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 2 [1839,Fragmented hc,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 2 [1839,392.457581,1572
111,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 2 [1839,Psectrocladius spp,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 2 [1839,538.757996,1572
112,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 2 [1839,Blurry specimens,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 2 [1839,212.447067,1572
113,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 2 [1839,Pollen,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 2 [1839,70.713806,1572
114,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 2 [1839,Psectrocladius spp,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 2 [1839,454.748413,1572
115,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 2 [1839,Particles,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 2 [1839,38.169136,1572
116,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 2 [1839,Background,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 2 [1839,97.120834,1572
117,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 2 [1839,Blurry specimens,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 2 [1839,141.74704,1572
118,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 2 [1839,Background,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 2 [1839,129.236298,1572
119,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 2 [1839,Pollen,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 2 [1839,34.043915,1572
120,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 2 [1839,Psectrocladius spp,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 2 [1839,89.829491,1572
121,D:\insectPtemp_repo\images\Segmented images ldrs\Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 2 [1839,Pollen,Annotation-LDRS-06-01 Dr01a 20_21 DEF ABC 2 [1839,55.372753,1572
