id,image,label,sample,m_majorAxis
17,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Blurry specimens\0380-ROY 09 5b-3 44-45_1.czi - ScanRegion2.jpg,Blurry specimens,0380-ROY 09 5b-3 44-45_1.czi - ScanRegion,51.494781
18,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Blurry specimens\0509-ROY 09 5b-3 74-75_1.czi - ScanRegion11.jpg,Micropsectra insignilobus,0509-ROY 09 5b-3 74-75_1.czi - ScanRegion1,85.565071
19,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Blurry specimens\0629-ROY 09 6a-2 38-39.czi - ScanRegion20.jpg,Blurry specimens,0629-ROY 09 6a-2 38-39.czi - ScanRegion2,50.54562
20,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Blurry specimens\0631-ROY 09 6a-2 38-39.czi - ScanRegion2.jpg,Corynoneura spp,0631-ROY 09 6a-2 38-39.czi - ScanRegion,81.27562
21,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Blurry specimens\0632-ROY 09 6a-2 38-39.czi - ScanRegion3.jpg,Micropsectra insignilobus,0632-ROY 09 6a-2 38-39.czi - ScanRegion,61.124283
22,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Blurry specimens\0711-ROY 09 6a-2 58-59_6.czi - ScanRegion0.jpg,Corynoneura spp,0711-ROY 09 6a-2 58-59_6.czi - ScanRegion,73.439621
23,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Blurry specimens\0716-ROY 09 6a-2 58-59_6.czi - ScanRegion3.jpg,Blurry specimens,0716-ROY 09 6a-2 58-59_6.czi - ScanRegion,28.96784
24,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Blurry specimens\0747-ROY 09 6a-2 63-64_2.czi - ScanRegion2.jpg,Micropsectra insignilobus,0747-ROY 09 6a-2 63-64_2.czi - ScanRegion,23.774673
25,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Blurry specimens\0757-ROY 09 6a-2 65-66.czi - ScanRegion1.jpg,Corynoneura spp,0757-ROY 09 6a-2 65-66.czi - ScanRegion,54.455631
26,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Blurry specimens\0835-ROY 09 6a-2 75-76.czi - ScanRegion2.jpg,Corynoneura spp,0835-ROY 09 6a-2 75-76.czi - ScanRegion,71.662605
27,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Blurry specimens\0841-ROY 09 6a-2 75-76.czi - ScanRegion9.jpg,Blurry specimens,0841-ROY 09 6a-2 75-76.czi - ScanRegion,44.591618
28,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Blurry specimens\1015-ROY 09 6a-2 83-84.czi - ScanRegion20.jpg,Micropsectra insignilobus,1015-ROY 09 6a-2 83-84.czi - ScanRegion2,68.583557
29,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Blurry specimens\1030-ROY 09 6a-2 83-84_1.czi - ScanRegion19.jpg,unsure,1030-ROY 09 6a-2 83-84_1.czi - ScanRegion1,27.515402
30,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Blurry specimens\1072-ROY 09 6a-2 83-84_3.czi - ScanRegion10.jpg,unsure,1072-ROY 09 6a-2 83-84_3.czi - ScanRegion1,58.524681
31,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Blurry specimens\1104-ROY 09 6a-2 83-84_3.czi - ScanRegion9.jpg,Micropsectra insignilobus,1104-ROY 09 6a-2 83-84_3.czi - ScanRegion,36.860077
32,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Blurry specimens\1296-ROY 09 A 5B-3 12-13.czi - ScanRegion11.jpg,Tanypodinae,1296-ROY 09 A 5B-3 12-13.czi - ScanRegion1,19.049435
33,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Blurry specimens\1309-ROY 09 A 5B-3 12-13.czi - ScanRegion8.jpg,Blurry specimens,1309-ROY 09 A 5B-3 12-13.czi - ScanRegion,169.017548
34,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Blurry specimens\1333-ROY 09 A 5b-3 19-20_1.czi - ScanRegion10.jpg,Corynoneura spp,1333-ROY 09 A 5b-3 19-20_1.czi - ScanRegion1,71.109123
35,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Blurry specimens\1466-ROY 09 A 5b-3 62-63_1.czi - ScanRegion17.jpg,Micropsectra insignilobus,1466-ROY 09 A 5b-3 62-63_1.czi - ScanRegion1,35.652863
36,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Blurry specimens\1469-ROY 09 A 5b-3 62-63_1.czi - ScanRegion2.jpg,Blurry specimens,1469-ROY 09 A 5b-3 62-63_1.czi - ScanRegion,171.513702
37,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Blurry specimens\1503-ROY 09 A 5b-3 62-63_3.czi - ScanRegion5.jpg,Micropsectra insignilobus,1503-ROY 09 A 5b-3 62-63_3.czi - ScanRegion,19.997015
38,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Blurry specimens\1518-ROY 09 A 6a-2 48-49.czi - ScanRegion2.jpg,Micropsectra insignilobus,1518-ROY 09 A 6a-2 48-49.czi - ScanRegion,42.076057
39,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Blurry specimens\1547-ROY 09 A 6a-2 48-49_3.czi - ScanRegion2.jpg,unsure,1547-ROY 09 A 6a-2 48-49_3.czi - ScanRegion,54.850288
40,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Blurry specimens\1647-ROY 09 A 6a-2 55-56 0.5 cm3.czi - ScanRegion12.jpg,Micropsectra insignilobus,1647-ROY 09 A 6a-2 55-56 0.5 cm3.czi - ScanRegion1,24.239117
41,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Blurry specimens\1748-ROY 09 A 6a-2 73-74_1.czi - ScanRegion19.jpg,Micropsectra insignilobus,1748-ROY 09 A 6a-2 73-74_1.czi - ScanRegion1,40.49752
42,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Blurry specimens\1813-ROY 09 A 6a-2 73-74_4.czi - ScanRegion2.jpg,unsure,1813-ROY 09 A 6a-2 73-74_4.czi - ScanRegion,90.177895
43,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Blurry specimens\1876-ROY 09 A 6a-2 80-81.czi - ScanRegion14.jpg,Micropsectra insignilobus,1876-ROY 09 A 6a-2 80-81.czi - ScanRegion1,29.228655
44,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Blurry specimens\1914-ROY 09 A 6a-2 80-81_1.czi - ScanRegion6.jpg,Micropsectra insignilobus,1914-ROY 09 A 6a-2 80-81_1.czi - ScanRegion,32.643806
45,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Blurry specimens\1928-ROY 09 A 6a-2 80-81_3.czi - ScanRegion12.jpg,Blurry specimens,1928-ROY 09 A 6a-2 80-81_3.czi - ScanRegion1,101.752457
46,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Blurry specimens\1945-ROY 09 A 6a-2 80-81_4.czi - ScanRegion1.jpg,Blurry specimens,1945-ROY 09 A 6a-2 80-81_4.czi - ScanRegion,75.542587
47,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Blurry specimens\1946-ROY 09 A 6a-2 80-81_4.czi - ScanRegion1.jpg,Background,1946-ROY 09 A 6a-2 80-81_4.czi - ScanRegion,132.741028
48,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0001-ROY 09 5b-3 14-15.czi - ScanRegion0.jpg,Chaoborus mandible,0001-ROY 09 5b-3 14-15.czi - ScanRegion,74.701607
49,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0003-ROY 09 5b-3 14-15.czi - ScanRegion12.jpg,Chaoborus mandible,0003-ROY 09 5b-3 14-15.czi - ScanRegion1,87.331627
50,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0004-ROY 09 5b-3 14-15.czi - ScanRegion12.jpg,Chaoborus mandible,0004-ROY 09 5b-3 14-15.czi - ScanRegion1,60.648182
51,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0007-ROY 09 5b-3 14-15.czi - ScanRegion15.jpg,Chaoborus mandible,0007-ROY 09 5b-3 14-15.czi - ScanRegion1,68.540009
52,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0011-ROY 09 5b-3 14-15.czi - ScanRegion17.jpg,Chaoborus mandible,0011-ROY 09 5b-3 14-15.czi - ScanRegion1,75.749123
53,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0016-ROY 09 5b-3 14-15.czi - ScanRegion5.jpg,Chaoborus mandible,0016-ROY 09 5b-3 14-15.czi - ScanRegion,62.769669
54,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0019-ROY 09 5b-3 14-15.czi - ScanRegion5.jpg,Chaoborus mandible,0019-ROY 09 5b-3 14-15.czi - ScanRegion,65.677002
55,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0027-ROY 09 5b-3 14-15_1.czi - ScanRegion4.jpg,Chaoborus mandible,0027-ROY 09 5b-3 14-15_1.czi - ScanRegion,61.965885
56,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0031-ROY 09 5b-3 14-15_1.czi - ScanRegion6.jpg,Chaoborus mandible,0031-ROY 09 5b-3 14-15_1.czi - ScanRegion,54.395317
57,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0034-ROY 09 5b-3 14-15_1.czi - ScanRegion8.jpg,Chaoborus mandible,0034-ROY 09 5b-3 14-15_1.czi - ScanRegion,64.533432
58,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0036-ROY 09 5b-3 14-15_1.czi - ScanRegion9.jpg,Chaoborus mandible,0036-ROY 09 5b-3 14-15_1.czi - ScanRegion,73.360092
59,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0045-ROY 09 5b-3 17-18.czi - ScanRegion15.jpg,Chaoborus mandible,0045-ROY 09 5b-3 17-18.czi - ScanRegion1,64.442093
60,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0047-ROY 09 5b-3 17-18.czi - ScanRegion21.jpg,Chaoborus mandible,0047-ROY 09 5b-3 17-18.czi - ScanRegion2,87.072578
61,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0048-ROY 09 5b-3 17-18.czi - ScanRegion5.jpg,Chaoborus mandible,0048-ROY 09 5b-3 17-18.czi - ScanRegion,62.338715
62,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0057-ROY 09 5b-3 17-18_1.czi - ScanRegion4.jpg,Chaoborus mandible,0057-ROY 09 5b-3 17-18_1.czi - ScanRegion,72.370338
63,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0060-ROY 09 5b-3 17-18_1.czi - ScanRegion5.jpg,Chaoborus mandible,0060-ROY 09 5b-3 17-18_1.czi - ScanRegion,71.972916
64,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0061-ROY 09 5b-3 17-18_1.czi - ScanRegion7.jpg,Chaoborus mandible,0061-ROY 09 5b-3 17-18_1.czi - ScanRegion,88.509392
65,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0065-ROY 09 5b-3 2 42-43check.czi - ScanRegion12.jpg,Chaoborus mandible,0065-ROY 09 5b-3 2 42-43check.czi - ScanRegion1,54.97987
66,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0069-ROY 09 5b-3 2 42-43check.czi - ScanRegion6.jpg,Chaoborus mandible,0069-ROY 09 5b-3 2 42-43check.czi - ScanRegion,116.069099
67,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0072-ROY 09 5b-3 2 42-43check.czi - ScanRegion8.jpg,Chaoborus mandible,0072-ROY 09 5b-3 2 42-43check.czi - ScanRegion,61.911133
68,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0074-ROY 09 5b-3 2 42-43check_1.czi - ScanRegion11.jpg,Chaoborus mandible,0074-ROY 09 5b-3 2 42-43check_1.czi - ScanRegion1,56.393631
69,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0078-ROY 09 5b-3 2 42-43check_1.czi - ScanRegion14.jpg,Chaoborus mandible,0078-ROY 09 5b-3 2 42-43check_1.czi - ScanRegion1,69.998764
70,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0080-ROY 09 5b-3 2 42-43check_1.czi - ScanRegion4.jpg,Chaoborus mandible,0080-ROY 09 5b-3 2 42-43check_1.czi - ScanRegion,71.160973
71,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0086-ROY 09 5b-3 2 42-43check_2.czi - ScanRegion12.jpg,Chaoborus mandible,0086-ROY 09 5b-3 2 42-43check_2.czi - ScanRegion1,32.586151
72,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0090-ROY 09 5b-3 2 42-43check_2.czi - ScanRegion1.jpg,Chaoborus mandible,0090-ROY 09 5b-3 2 42-43check_2.czi - ScanRegion,68.874657
73,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0102-ROY 09 5b-3 2 42-43check_4.czi - ScanRegion1.jpg,Chaoborus mandible,0102-ROY 09 5b-3 2 42-43check_4.czi - ScanRegion,78.740341
74,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0103-ROY 09 5b-3 2 42-43check_4.czi - ScanRegion2.jpg,Chaoborus mandible,0103-ROY 09 5b-3 2 42-43check_4.czi - ScanRegion,102.259064
75,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0110-ROY 09 5b-3 24-25.czi - ScanRegion2.jpg,Chaoborus mandible,0110-ROY 09 5b-3 24-25.czi - ScanRegion,57.797733
76,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0117-ROY 09 5b-3 24-25_1.czi - ScanRegion21.jpg,Chaoborus mandible,0117-ROY 09 5b-3 24-25_1.czi - ScanRegion2,63.113548
77,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0119-ROY 09 5b-3 24-25_1.czi - ScanRegion3.jpg,Micropsectra insignilobus,0119-ROY 09 5b-3 24-25_1.czi - ScanRegion,103.24234
78,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0126-ROY 09 5b-3 24-25_2.czi - ScanRegion10.jpg,Chaoborus mandible,0126-ROY 09 5b-3 24-25_2.czi - ScanRegion1,52.910702
79,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0130-ROY 09 5b-3 24-25_2.czi - ScanRegion4.jpg,Chaoborus mandible,0130-ROY 09 5b-3 24-25_2.czi - ScanRegion,64.278908
80,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0132-ROY 09 5b-3 24-25_3.czi - ScanRegion11.jpg,Chaoborus mandible,0132-ROY 09 5b-3 24-25_3.czi - ScanRegion1,24.472536
81,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0141-ROY 09 5b-3 24-25_3.czi - ScanRegion9.jpg,Chaoborus mandible,0141-ROY 09 5b-3 24-25_3.czi - ScanRegion,68.92186
82,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0143-ROY 09 5b-3 24-25_4.czi - ScanRegion10.jpg,Chaoborus mandible,0143-ROY 09 5b-3 24-25_4.czi - ScanRegion1,59.7873
83,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0148-ROY 09 5b-3 24-25_5.czi - ScanRegion11.jpg,Blurry specimens,0148-ROY 09 5b-3 24-25_5.czi - ScanRegion1,108.918228
84,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0150-ROY 09 5b-3 24-25_5.czi - ScanRegion2.jpg,Chaoborus mandible,0150-ROY 09 5b-3 24-25_5.czi - ScanRegion,33.601368
85,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0152-ROY 09 5b-3 24-25_5.czi - ScanRegion9.jpg,Chaoborus mandible,0152-ROY 09 5b-3 24-25_5.czi - ScanRegion,57.663975
86,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0156-ROY 09 5b-3 24-25_6.czi - ScanRegion4.jpg,Chaoborus mandible,0156-ROY 09 5b-3 24-25_6.czi - ScanRegion,65.89962
87,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0159-ROY 09 5b-3 24-25_7.czi - ScanRegion4.jpg,Chaoborus mandible,0159-ROY 09 5b-3 24-25_7.czi - ScanRegion,88.729904
88,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0167-ROY 09 5b-3 27-28.czi - ScanRegion10.jpg,Chaoborus mandible,0167-ROY 09 5b-3 27-28.czi - ScanRegion1,67.280464
89,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0171-ROY 09 5b-3 27-28.czi - ScanRegion11.jpg,Chaoborus mandible,0171-ROY 09 5b-3 27-28.czi - ScanRegion1,149.246109
90,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0181-ROY 09 5b-3 27-28.czi - ScanRegion19.jpg,Chaoborus mandible,0181-ROY 09 5b-3 27-28.czi - ScanRegion1,72.884087
91,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0182-ROY 09 5b-3 27-28.czi - ScanRegion2.jpg,Chaoborus mandible,0182-ROY 09 5b-3 27-28.czi - ScanRegion,57.993496
92,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0183-ROY 09 5b-3 27-28.czi - ScanRegion3.jpg,Chaoborus mandible,0183-ROY 09 5b-3 27-28.czi - ScanRegion,72.233353
93,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0185-ROY 09 5b-3 27-28.czi - ScanRegion4.jpg,Micropsectra insignilobus,0185-ROY 09 5b-3 27-28.czi - ScanRegion,128.619446
94,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0190-ROY 09 5b-3 27-28_1.czi - ScanRegion4.jpg,Chaoborus mandible,0190-ROY 09 5b-3 27-28_1.czi - ScanRegion,69.03112
95,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0199-ROY 09 5b-3 29-30.czi - ScanRegion4.jpg,Chaoborus mandible,0199-ROY 09 5b-3 29-30.czi - ScanRegion,103.387901
96,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0209-ROY 09 5b-3 29-30_1.czi - ScanRegion1.jpg,Chaoborus mandible,0209-ROY 09 5b-3 29-30_1.czi - ScanRegion,71.316978
97,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0210-ROY 09 5b-3 29-30_1.czi - ScanRegion1.jpg,Chaoborus mandible,0210-ROY 09 5b-3 29-30_1.czi - ScanRegion,64.022385
98,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0212-ROY 09 5b-3 29-30_1.czi - ScanRegion8.jpg,Chaoborus mandible,0212-ROY 09 5b-3 29-30_1.czi - ScanRegion,116.171478
99,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0216-ROY 09 5b-3 29-30_2.czi - ScanRegion5.jpg,Chaoborus mandible,0216-ROY 09 5b-3 29-30_2.czi - ScanRegion,62.147552
100,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0218-ROY 09 5b-3 29-30_2.czi - ScanRegion5.jpg,Chaoborus mandible,0218-ROY 09 5b-3 29-30_2.czi - ScanRegion,130.123596
101,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0223-ROY 09 5b-3 32-33.czi - ScanRegion17.jpg,Chaoborus mandible,0223-ROY 09 5b-3 32-33.czi - ScanRegion1,113.237892
102,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0228-ROY 09 5b-3 32-33.czi - ScanRegion2.jpg,Micropsectra insignilobus,0228-ROY 09 5b-3 32-33.czi - ScanRegion,76.981789
103,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0229-ROY 09 5b-3 32-33.czi - ScanRegion2.jpg,Chaoborus mandible,0229-ROY 09 5b-3 32-33.czi - ScanRegion,148.999832
104,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0230-ROY 09 5b-3 32-33.czi - ScanRegion4.jpg,Chaoborus mandible,0230-ROY 09 5b-3 32-33.czi - ScanRegion,64.15274
105,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0232-ROY 09 5b-3 32-33.czi - ScanRegion5.jpg,unsure,0232-ROY 09 5b-3 32-33.czi - ScanRegion,74.68705
106,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0234-ROY 09 5b-3 32-33_1.czi - ScanRegion13.jpg,Chaoborus mandible,0234-ROY 09 5b-3 32-33_1.czi - ScanRegion1,69.823822
107,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0252-ROY 09 5b-3 32-33_2.czi - ScanRegion18.jpg,Chaoborus mandible,0252-ROY 09 5b-3 32-33_2.czi - ScanRegion1,68.320961
108,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0253-ROY 09 5b-3 32-33_2.czi - ScanRegion18.jpg,Chaoborus mandible,0253-ROY 09 5b-3 32-33_2.czi - ScanRegion1,41.756462
109,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0254-ROY 09 5b-3 32-33_2.czi - ScanRegion18.jpg,Chaoborus mandible,0254-ROY 09 5b-3 32-33_2.czi - ScanRegion1,59.89138
110,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0258-ROY 09 5b-3 32-33_3.czi - ScanRegion18.jpg,Chaoborus mandible,0258-ROY 09 5b-3 32-33_3.czi - ScanRegion1,91.286896
111,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0281-ROY 09 5b-3 32-33_7.czi - ScanRegion5.jpg,Chaoborus mandible,0281-ROY 09 5b-3 32-33_7.czi - ScanRegion,155.93309
112,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0283-ROY 09 5b-3 32-33_7.czi - ScanRegion5.jpg,Chaoborus mandible,0283-ROY 09 5b-3 32-33_7.czi - ScanRegion,93.841835
113,D:\insectPtemp_repo\images\LDRY to Martin\images_20250717_220014\Chaoborus mandible\0294-ROY 09 5b-3 34-35.czi - ScanRegion18.jpg,Chaoborus mandible,0294-ROY 09 5b-3 34-35.czi - ScanRegion1,66.070015
