id,image,label,Lake,sample,m_majorAxis,id1
4772,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Tanytarsini\Tanytarsus mendax-1_B_Satanie pliso.scn  2 [65908,Tanytarsus spp,Satanie,1_B_Satanie pliso.scn  2 [65908,344.1498109500001,1
4026,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\particle\Tanytarsus mendax-1_B_Satanie pliso.scn  2 [66534,Background,Satanie,1_B_Satanie pliso.scn  2 [66534,75.88553995000001,1
4672,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Tanytarsini\Tanytarsini juvenile-1_B_Satanie pliso.scn  2 [68627,Blurry specimens,Satanie,1_B_Satanie pliso.scn  2 [68627,174.7830612,1
4773,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Tanytarsini\Tanytarsus mendax-1_B_Satanie pliso.scn  2 [69778,Blurry specimens,Satanie,1_B_Satanie pliso.scn  2 [69778,340.0532102,1
453,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Heterotrissocladius marcidus\Heterotrissocladius marcidus-1_B_Satanie pliso.scn  2 [71019,Blurry specimens,Satanie,1_B_Satanie pliso.scn  2 [71019,232.71042465000002,1
2849,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\particle\Heterotrissocladius marcidus-1_B_Satanie pliso.scn  2 [71019,Background,Satanie,1_B_Satanie pliso.scn  2 [71019,191.10574780000002,1
454,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Heterotrissocladius marcidus\Heterotrissocladius marcidus-1_B_Satanie pliso.scn  2 [71037,Blurry specimens,Satanie,1_B_Satanie pliso.scn  2 [71037,205.06021855000003,1
4027,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\particle\Tanytarsus mendax-1_B_Satanie pliso.scn  2 [72056,Background,Satanie,1_B_Satanie pliso.scn  2 [72056,116.08650680000001,1
4774,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Tanytarsini\Tanytarsus mendax-1_B_Satanie pliso.scn  2 [72056,Blurry specimens,Satanie,1_B_Satanie pliso.scn  2 [72056,336.19394545,1
30,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\blurry\Tanytarsini juvenile-1_B_Satanie pliso.scn  2 [72102,Blurry specimens,Satanie,1_B_Satanie pliso.scn  2 [72102,235.66271355000003,1
964,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\mentum\Prodiamesa olivacea-10_B_Malizabie Javovove pliso.scn  3 [10955,Fragmented hc,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [10955,290.26213095,10
4528,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Tanytarsini\Micropsectra type A-10_B_Malizabie Javovove pliso.scn  3 [11423,Tanytarsus spp,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [11423,471.23240670000007,10
4973,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Tanytarsus  lugens\Tanytarsus lugens-10_B_Malizabie Javovove pliso.scn  3 [1173,Tanytarsus lugens,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [1173,455.91011950000006,10
4974,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Tanytarsus  lugens\Tanytarsus lugens-10_B_Malizabie Javovove pliso.scn  3 [1479,Tanytarsus lugens,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [1479,460.26705010000006,10
933,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\mandible\Paratanytarsus austriacus-10_B_Malizabie Javovove pliso.scn  3 [1908,Mandible,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [1908,99.4572733,10
2556,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Paratanytarsus austriacus\Paratanytarsus austriacus-10_B_Malizabie Javovove pliso.scn  3 [1908,Paratanytarsus austriacus,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [1908,293.28484790000005,10
3171,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\particle\Paratanytarsus austriacus-10_B_Malizabie Javovove pliso.scn  3 [1908,Particles,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [1908,76.1286658,10
4620,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Tanytarsini\Paratanytarsus austriacus-10_B_Malizabie Javovove pliso.scn  3 [32922,Orthocladiinae Diamesinae,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [32922,314.70705255000007,10
4621,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Tanytarsini\Paratanytarsus austriacus-10_B_Malizabie Javovove pliso.scn  3 [34012,Micropsectra radialis,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [34012,368.49399125,10
2557,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Paratanytarsus austriacus\Paratanytarsus austriacus-10_B_Malizabie Javovove pliso.scn  3 [3545,Paratanytarsus austriacus,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [3545,295.11880805000004,10
4622,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Tanytarsini\Paratanytarsus austriacus-10_B_Malizabie Javovove pliso.scn  3 [36376,Orthocladiinae Diamesinae,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [36376,356.30338755,10
3172,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\particle\Paratanytarsus austriacus-10_B_Malizabie Javovove pliso.scn  3 [3690,Particles,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [3690,51.166134250000006,10
3173,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\particle\Paratanytarsus austriacus-10_B_Malizabie Javovove pliso.scn  3 [3690,Tanypodinae,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [3690,65.3003857,10
4623,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Tanytarsini\Paratanytarsus austriacus-10_B_Malizabie Javovove pliso.scn  3 [3690,Fragmented hc,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [3690,202.93408795000002,10
4624,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Tanytarsini\Paratanytarsus austriacus-10_B_Malizabie Javovove pliso.scn  3 [37825,Orthocladiinae Diamesinae,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [37825,386.15216695,10
4625,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Tanytarsini\Paratanytarsus austriacus-10_B_Malizabie Javovove pliso.scn  3 [38287,Heterotrissocladius marcidus,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [38287,366.03174740000003,10
4626,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Tanytarsini\Paratanytarsus austriacus-10_B_Malizabie Javovove pliso.scn  3 [39056,Heterotrissocladius marcidus,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [39056,347.58828445,10
4627,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Tanytarsini\Paratanytarsus austriacus-10_B_Malizabie Javovove pliso.scn  3 [39922,Paratanytarsus austriacus,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [39922,219.12350460000002,10
4628,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Tanytarsini\Paratanytarsus austriacus-10_B_Malizabie Javovove pliso.scn  3 [40140,Paratanytarsus austriacus,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [40140,338.77619930000003,10
2023,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Orthocladiinae#Diamesinae\Diamesa-10_B_Malizabie Javovove pliso.scn  3 [40379,Orthocladiinae Diamesinae,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [40379,360.83262930000006,10
4629,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Tanytarsini\Paratanytarsus austriacus-10_B_Malizabie Javovove pliso.scn  3 [40773,Paratanytarsus austriacus,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [40773,368.93324600000005,10
3174,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\particle\Paratanytarsus austriacus-10_B_Malizabie Javovove pliso.scn  3 [40881,Particles,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [40881,52.881879600000005,10
4630,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Tanytarsini\Paratanytarsus austriacus-10_B_Malizabie Javovove pliso.scn  3 [40881,Fragmented hc,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [40881,351.14498925000004,10
4631,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Tanytarsini\Paratanytarsus austriacus-10_B_Malizabie Javovove pliso.scn  3 [42010,Paratanytarsus austriacus,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [42010,361.96717205,10
2558,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Paratanytarsus austriacus\Paratanytarsus austriacus-10_B_Malizabie Javovove pliso.scn  3 [42051,Paratanytarsus austriacus,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [42051,258.09542220000003,10
4632,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Tanytarsini\Paratanytarsus austriacus-10_B_Malizabie Javovove pliso.scn  3 [43990,Orthocladiinae Diamesinae,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [43990,361.16439535000006,10
4529,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Tanytarsini\Micropsectra type A-10_B_Malizabie Javovove pliso.scn  3 [44002,Tanytarsus spp,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [44002,563.7976014000001,10
4633,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Tanytarsini\Paratanytarsus austriacus-10_B_Malizabie Javovove pliso.scn  3 [44287,Orthocladiinae Diamesinae,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [44287,373.58105455000003,10
2559,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Paratanytarsus austriacus\Paratanytarsus austriacus-10_B_Malizabie Javovove pliso.scn  3 [5476,Paratanytarsus austriacus,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [5476,318.95055225,10
2560,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Paratanytarsus austriacus\Paratanytarsus austriacus-10_B_Malizabie Javovove pliso.scn  3 [5856,Paratanytarsus austriacus,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [5856,263.7859785,10
4180,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Prodiamesa olivacea\Prodiamesa olivacea-10_B_Malizabie Javovove pliso.scn  3 [6325,Orthocladiinae Diamesinae,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [6325,525.8842253500001,10
2561,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Paratanytarsus austriacus\Paratanytarsus austriacus-10_B_Malizabie Javovove pliso.scn  3 [6845,Paratanytarsus austriacus,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [6845,274.055023,10
2562,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Paratanytarsus austriacus\Paratanytarsus austriacus-10_B_Malizabie Javovove pliso.scn  3 [7603,Paratanytarsus austriacus,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [7603,327.90477005,10
4188,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Tanypodinae\Macropelopia-10_B_Malizabie Javovove pliso.scn  3 [7665,Tanypodinae,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [7665,624.4861265500001,10
4634,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Tanytarsini\Paratanytarsus austriacus-10_B_Malizabie Javovove pliso.scn  3 [7763,Paratanytarsus austriacus,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [7763,361.1043062,10
4530,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Tanytarsini\Micropsectra type A-10_B_Malizabie Javovove pliso.scn  3 [9597,Tanytarsus spp,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [9597,468.2570893,10
981,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Micropsectra radialis\Micropsectra radialis-11_B_Niznekozie pliso.scn  3 [10907,Micropsectra radialis,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [10907,534.7679474500001,11
2292,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Orthocladiinae#Diamesinae\Pseudodiamesa-11_B_Niznekozie pliso.scn  3 [11003,Micropsectra radialis,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [11003,402.78980115,11
982,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Micropsectra radialis\Micropsectra radialis-11_B_Niznekozie pliso.scn  3 [11136,Micropsectra radialis,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [11136,301.7102143,11
983,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Micropsectra radialis\Micropsectra radialis-11_B_Niznekozie pliso.scn  3 [11165,Micropsectra radialis,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [11165,388.70021355000006,11
984,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Micropsectra radialis\Micropsectra radialis-11_B_Niznekozie pliso.scn  3 [1210,Tanytarsus lugens,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [1210,473.10651575,11
985,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Micropsectra radialis\Micropsectra radialis-11_B_Niznekozie pliso.scn  3 [13156,Micropsectra radialis,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [13156,310.79478155000004,11
2884,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\particle\Micropsectra radialis-11_B_Niznekozie pliso.scn  3 [1410,Particles,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [1410,58.07112025000001,11
2885,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\particle\Micropsectra radialis-11_B_Niznekozie pliso.scn  3 [1410,Background,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [1410,66.2967866,11
2886,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\particle\Micropsectra radialis-11_B_Niznekozie pliso.scn  3 [1410,Blurry specimens,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [1410,33.61699385,11
986,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Micropsectra radialis\Micropsectra radialis-11_B_Niznekozie pliso.scn  3 [1728,Paratanytarsus austriacus,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [1728,475.98545555000004,11
2887,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\particle\Micropsectra radialis-11_B_Niznekozie pliso.scn  3 [1728,Background,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [1728,67.4353031,11
987,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Micropsectra radialis\Micropsectra radialis-11_B_Niznekozie pliso.scn  3 [36251,Micropsectra radialis,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [36251,387.62374585000003,11
988,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Micropsectra radialis\Micropsectra radialis-11_B_Niznekozie pliso.scn  3 [36370,Tanytarsus lugens,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [36370,619.16753525,11
2888,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\particle\Micropsectra radialis-11_B_Niznekozie pliso.scn  3 [36370,Particles,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [36370,130.1467123,11
989,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Micropsectra radialis\Micropsectra radialis-11_B_Niznekozie pliso.scn  3 [36735,Micropsectra radialis,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [36735,315.02055640000003,11
990,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Micropsectra radialis\Micropsectra radialis-11_B_Niznekozie pliso.scn  3 [36941,Micropsectra radialis,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [36941,337.2916624,11
255,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\fragmented hc\Diamesa-11_B_Niznekozie pliso.scn  3 [37928,Orthocladiinae Diamesinae,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [37928,761.61377545,11
2024,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Orthocladiinae#Diamesinae\Diamesa-11_B_Niznekozie pliso.scn  3 [38498,Orthocladiinae Diamesinae,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [38498,438.02585475000006,11
991,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Micropsectra radialis\Micropsectra radialis-11_B_Niznekozie pliso.scn  3 [38855,Micropsectra radialis,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [38855,569.2647031500001,11
2293,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Orthocladiinae#Diamesinae\Pseudodiamesa-11_B_Niznekozie pliso.scn  3 [39475,Orthocladiinae Diamesinae,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [39475,384.27614445,11
2025,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Orthocladiinae#Diamesinae\Diamesa-11_B_Niznekozie pliso.scn  3 [40750,Micropsectra radialis,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [40750,303.29525765,11
992,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Micropsectra radialis\Micropsectra radialis-11_B_Niznekozie pliso.scn  3 [41629,Orthocladiinae Diamesinae,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [41629,528.09953295,11
2819,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\particle\Diamesa-11_B_Niznekozie pliso.scn  3 [41740,Particles,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [41740,75.77598655,11
2026,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Orthocladiinae#Diamesinae\Diamesa-11_B_Niznekozie pliso.scn  3 [41740,Orthocladiinae Diamesinae,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [41740,299.27002545000005,11
993,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Micropsectra radialis\Micropsectra radialis-11_B_Niznekozie pliso.scn  3 [42323,Paratanytarsus austriacus,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [42323,329.80902405000006,11
2889,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\particle\Micropsectra radialis-11_B_Niznekozie pliso.scn  3 [42323,Particles,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [42323,61.45920165000001,11
994,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Micropsectra radialis\Micropsectra radialis-11_B_Niznekozie pliso.scn  3 [4327,Micropsectra radialis,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [4327,550.29228815,11
995,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Micropsectra radialis\Micropsectra radialis-11_B_Niznekozie pliso.scn  3 [43778,Micropsectra radialis,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [43778,630.2485717000001,11
996,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Micropsectra radialis\Micropsectra radialis-11_B_Niznekozie pliso.scn  3 [43840,Micropsectra radialis,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [43840,562.4106169,11
2294,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Orthocladiinae#Diamesinae\Pseudodiamesa-11_B_Niznekozie pliso.scn  3 [44633,Orthocladiinae Diamesinae,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [44633,411.65875245,11
923,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\mandible\Micropsectra radialis-11_B_Niznekozie pliso.scn  3 [44966,Mandible,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [44966,141.79131945,11
997,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Micropsectra radialis\Micropsectra radialis-11_B_Niznekozie pliso.scn  3 [44966,Micropsectra radialis,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [44966,373.89006050000006,11
998,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Micropsectra radialis\Micropsectra radialis-11_B_Niznekozie pliso.scn  3 [4516,Micropsectra radialis,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [4516,371.33207705,11
999,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Micropsectra radialis\Micropsectra radialis-11_B_Niznekozie pliso.scn  3 [46957,Micropsectra radialis,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [46957,331.59860525000005,11
2027,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Orthocladiinae#Diamesinae\Diamesa-11_B_Niznekozie pliso.scn  3 [47129,Orthocladiinae Diamesinae,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [47129,400.17753600000003,11
1000,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Micropsectra radialis\Micropsectra radialis-11_B_Niznekozie pliso.scn  3 [47450,Micropsectra radialis,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [47450,383.15895695,11
1001,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Micropsectra radialis\Micropsectra radialis-11_B_Niznekozie pliso.scn  3 [4892,Micropsectra radialis,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [4892,503.31458760000004,11
1002,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Micropsectra radialis\Micropsectra radialis-11_B_Niznekozie pliso.scn  3 [6170,Micropsectra radialis,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [6170,324.5005709,11
2890,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\particle\Micropsectra radialis-11_B_Niznekozie pliso.scn  3 [6170,Background,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [6170,164.01354805000003,11
1003,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Micropsectra radialis\Micropsectra radialis-11_B_Niznekozie pliso.scn  3 [6759,Micropsectra radialis,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [6759,514.8235994,11
