id,image,label,Lake,sample,m_majorAxis
2560,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Paratanytarsus austriacus\Paratanytarsus austriacus-10_B_Malizabie Javovove pliso.scn  3 [5856,Paratanytarsus austriacus,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [5856,479.61087
4180,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Prodiamesa olivacea\Prodiamesa olivacea-10_B_Malizabie Javovove pliso.scn  3 [6325,Orthocladiinae Diamesinae,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [6325,956.153137
2561,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Paratanytarsus austriacus\Paratanytarsus austriacus-10_B_Malizabie Javovove pliso.scn  3 [6845,Paratanytarsus austriacus,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [6845,498.28186
2562,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Paratanytarsus austriacus\Paratanytarsus austriacus-10_B_Malizabie Javovove pliso.scn  3 [7603,Paratanytarsus austriacus,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [7603,596.190491
4188,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Tanypodinae\Macropelopia-10_B_Malizabie Javovove pliso.scn  3 [7665,Tanypodinae,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [7665,1135.429321
4634,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Tanytarsini\Paratanytarsus austriacus-10_B_Malizabie Javovove pliso.scn  3 [7763,Paratanytarsus austriacus,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [7763,656.553284
4530,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Tanytarsini\Micropsectra type A-10_B_Malizabie Javovove pliso.scn  3 [9597,Tanytarsus spp,Male Zabie Javorove,10_B_Malizabie Javovove pliso.scn  3 [9597,851.376526
981,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Micropsectra radialis\Micropsectra radialis-11_B_Niznekozie pliso.scn  3 [10907,Micropsectra radialis,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [10907,972.305359
2292,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Orthocladiinae#Diamesinae\Pseudodiamesa-11_B_Niznekozie pliso.scn  3 [11003,Micropsectra radialis,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [11003,732.345093
982,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Micropsectra radialis\Micropsectra radialis-11_B_Niznekozie pliso.scn  3 [11136,Micropsectra radialis,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [11136,548.564026
983,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Micropsectra radialis\Micropsectra radialis-11_B_Niznekozie pliso.scn  3 [11165,Micropsectra radialis,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [11165,706.727661
984,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Micropsectra radialis\Micropsectra radialis-11_B_Niznekozie pliso.scn  3 [1210,Tanytarsus lugens,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [1210,860.193665
985,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Micropsectra radialis\Micropsectra radialis-11_B_Niznekozie pliso.scn  3 [13156,Micropsectra radialis,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [13156,565.081421
2884,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\particle\Micropsectra radialis-11_B_Niznekozie pliso.scn  3 [1410,Particles,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [1410,105.583855
2885,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\particle\Micropsectra radialis-11_B_Niznekozie pliso.scn  3 [1410,Background,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [1410,120.539612
2886,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\particle\Micropsectra radialis-11_B_Niznekozie pliso.scn  3 [1410,Blurry specimens,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [1410,61.121807
986,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Micropsectra radialis\Micropsectra radialis-11_B_Niznekozie pliso.scn  3 [1728,Paratanytarsus austriacus,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [1728,865.428101
2887,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\particle\Micropsectra radialis-11_B_Niznekozie pliso.scn  3 [1728,Background,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [1728,122.609642
987,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Micropsectra radialis\Micropsectra radialis-11_B_Niznekozie pliso.scn  3 [36251,Micropsectra radialis,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [36251,704.770447
988,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Micropsectra radialis\Micropsectra radialis-11_B_Niznekozie pliso.scn  3 [36370,Tanytarsus lugens,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [36370,1125.759155
2888,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\particle\Micropsectra radialis-11_B_Niznekozie pliso.scn  3 [36370,Particles,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [36370,236.630386
989,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Micropsectra radialis\Micropsectra radialis-11_B_Niznekozie pliso.scn  3 [36735,Micropsectra radialis,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [36735,572.764648
990,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Micropsectra radialis\Micropsectra radialis-11_B_Niznekozie pliso.scn  3 [36941,Micropsectra radialis,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [36941,613.257568
255,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\fragmented hc\Diamesa-11_B_Niznekozie pliso.scn  3 [37928,Orthocladiinae Diamesinae,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [37928,1384.752319
2024,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Orthocladiinae#Diamesinae\Diamesa-11_B_Niznekozie pliso.scn  3 [38498,Orthocladiinae Diamesinae,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [38498,796.410645
991,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Micropsectra radialis\Micropsectra radialis-11_B_Niznekozie pliso.scn  3 [38855,Micropsectra radialis,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [38855,1035.026733
2293,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Orthocladiinae#Diamesinae\Pseudodiamesa-11_B_Niznekozie pliso.scn  3 [39475,Orthocladiinae Diamesinae,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [39475,698.683899
2025,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Orthocladiinae#Diamesinae\Diamesa-11_B_Niznekozie pliso.scn  3 [40750,Micropsectra radialis,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [40750,551.445923
992,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Micropsectra radialis\Micropsectra radialis-11_B_Niznekozie pliso.scn  3 [41629,Orthocladiinae Diamesinae,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [41629,960.180969
2819,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\particle\Diamesa-11_B_Niznekozie pliso.scn  3 [41740,Particles,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [41740,137.774521
2026,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Orthocladiinae#Diamesinae\Diamesa-11_B_Niznekozie pliso.scn  3 [41740,Orthocladiinae Diamesinae,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [41740,544.127319
993,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Micropsectra radialis\Micropsectra radialis-11_B_Niznekozie pliso.scn  3 [42323,Paratanytarsus austriacus,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [42323,599.652771
2889,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\particle\Micropsectra radialis-11_B_Niznekozie pliso.scn  3 [42323,Particles,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [42323,111.744003
994,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Micropsectra radialis\Micropsectra radialis-11_B_Niznekozie pliso.scn  3 [4327,Micropsectra radialis,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [4327,1000.531433
995,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Micropsectra radialis\Micropsectra radialis-11_B_Niznekozie pliso.scn  3 [43778,Micropsectra radialis,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [43778,1145.906494
996,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Micropsectra radialis\Micropsectra radialis-11_B_Niznekozie pliso.scn  3 [43840,Micropsectra radialis,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [43840,1022.564758
2294,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Orthocladiinae#Diamesinae\Pseudodiamesa-11_B_Niznekozie pliso.scn  3 [44633,Orthocladiinae Diamesinae,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [44633,748.470459
923,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\mandible\Micropsectra radialis-11_B_Niznekozie pliso.scn  3 [44966,Mandible,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [44966,257.802399
997,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Micropsectra radialis\Micropsectra radialis-11_B_Niznekozie pliso.scn  3 [44966,Micropsectra radialis,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [44966,679.80011
998,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Micropsectra radialis\Micropsectra radialis-11_B_Niznekozie pliso.scn  3 [4516,Micropsectra radialis,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [4516,675.149231
999,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Micropsectra radialis\Micropsectra radialis-11_B_Niznekozie pliso.scn  3 [46957,Micropsectra radialis,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [46957,602.906555
2027,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Orthocladiinae#Diamesinae\Diamesa-11_B_Niznekozie pliso.scn  3 [47129,Orthocladiinae Diamesinae,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [47129,727.59552
1000,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Micropsectra radialis\Micropsectra radialis-11_B_Niznekozie pliso.scn  3 [47450,Micropsectra radialis,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [47450,696.652649
1001,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Micropsectra radialis\Micropsectra radialis-11_B_Niznekozie pliso.scn  3 [4892,Micropsectra radialis,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [4892,915.117432
1002,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Micropsectra radialis\Micropsectra radialis-11_B_Niznekozie pliso.scn  3 [6170,Micropsectra radialis,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [6170,590.001038
2890,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\particle\Micropsectra radialis-11_B_Niznekozie pliso.scn  3 [6170,Background,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [6170,298.206451
1003,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\Micropsectra radialis\Micropsectra radialis-11_B_Niznekozie pliso.scn  3 [6759,Micropsectra radialis,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [6759,936.042908
3236,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\particle\Pseudodiamesa-11_B_Niznekozie pliso.scn  3 [69492,Particles,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [69492,78.880219
3237,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\particle\Pseudodiamesa-11_B_Niznekozie pliso.scn  3 [69492,Particles,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [69492,105.028824
3238,D:\insectPtemp_repo\images\Slovakian lakes\SK_train_images_20250311_220338\particle\Pseudodiamesa-11_B_Niznekozie pliso.scn  3 [69492,Background,Nizne Kozie,11_B_Niznekozie pliso.scn  3 [69492,19.059284
