id,image,label,sample,m_majorAxis
27,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0152-HIJ B7C1 11-12,Acari spp,0152-HIJ B7C1 11-12,152.478745
28,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0153-HIJ B7C1 11-12,Acari spp,0153-HIJ B7C1 11-12,89.880608
29,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0154-HIJ B7C1 11-12,Acari spp,0154-HIJ B7C1 11-12,205.597885
30,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0157-HIJ B7C1 11-12,Acari spp,0157-HIJ B7C1 11-12,146.623596
31,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0158-HIJ B7C1 11-12,Acari spp,0158-HIJ B7C1 11-12,50.359501
32,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0159-HIJ B7C1 11-12,Acari spp,0159-HIJ B7C1 11-12,78.182129
33,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0160-HIJ B7C1 11-12,Acari spp,0160-HIJ B7C1 11-12,143.192917
34,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0162-HIJ B7C1 11-12,Acari spp,0162-HIJ B7C1 11-12,95.89592
35,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0167-HIJ B7C1 11-12,Acari spp,0167-HIJ B7C1 11-12,67.991577
36,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0171-HIJ B7C1 11-12,Acari spp,0171-HIJ B7C1 11-12,135.377518
37,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0174-HIJ B7C1 11-12,Acari spp,0174-HIJ B7C1 11-12,205.621902
38,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0175-HIJ B7C1 11-12,Acari spp,0175-HIJ B7C1 11-12,90.061096
39,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0176-HIJ B7C1 11-12,Acari spp,0176-HIJ B7C1 11-12,90.918266
40,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0178-HIJ B7C1 11-12,Acari spp,0178-HIJ B7C1 11-12,92.34816
41,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0180-HIJ B7C1 11-12,Acari spp,0180-HIJ B7C1 11-12,181.631378
42,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0182-HIJ B7C1 11-12,Acari spp,0182-HIJ B7C1 11-12,90.649841
43,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0184-HIJ B7C1 11-12,Acari spp,0184-HIJ B7C1 11-12,88.040337
44,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0186-HIJ B7C1 11-12,Acari spp,0186-HIJ B7C1 11-12,140.977127
45,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0187-HIJ B7C1 11-12,Acari spp,0187-HIJ B7C1 11-12,67.528564
46,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0188-HIJ B7C1 11-12,Acari spp,0188-HIJ B7C1 11-12,79.391808
47,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0189-HIJ B7C1 11-12,Acari spp,0189-HIJ B7C1 11-12,92.060257
48,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0190-HIJ B7C1 11-12,Acari spp,0190-HIJ B7C1 11-12,61.598053
51,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0197-HIJ B7C1 11-12,Acari spp,0197-HIJ B7C1 11-12,64.884392
52,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0198-HIJ B7C1 11-12,Acari spp,0198-HIJ B7C1 11-12,70.839439
53,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0203-HIJ B7C1 11-12,Acari spp,0203-HIJ B7C1 11-12,152.950134
54,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0205-HIJ B7C1 11-12,Acari spp,0205-HIJ B7C1 11-12,91.191582
55,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0206-HIJ B7C1 11-12,Acari spp,0206-HIJ B7C1 11-12,134.828552
56,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0209-HIJ B7C1 11-12,Acari spp,0209-HIJ B7C1 11-12,65.185143
57,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0210-HIJ B7C1 11-12,Acari spp,0210-HIJ B7C1 11-12,58.701469
58,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0211-HIJ B7C1 11-12,Acari spp,0211-HIJ B7C1 11-12,42.134014
59,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0212-HIJ B7C1 11-12,Acari spp,0212-HIJ B7C1 11-12,150.545044
60,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0213-HIJ B7C1 11-12,Acari spp,0213-HIJ B7C1 11-12,69.134712
61,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0214-HIJ B7C1 11-12,Acari spp,0214-HIJ B7C1 11-12,59.528378
62,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0215-HIJ B7C1 11-12,Acari spp,0215-HIJ B7C1 11-12,147.052551
63,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0219-HIJ B7C1 11-12,Acari spp,0219-HIJ B7C1 11-12,187.031998
64,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0220-HIJ B7C1 11-12,Acari spp,0220-HIJ B7C1 11-12,154.463608
65,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0221-HIJ B7C1 11-12,Acari spp,0221-HIJ B7C1 11-12,94.829758
66,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0224-HIJ B7C1 11-12,Acari spp,0224-HIJ B7C1 11-12,143.324722
67,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0226-HIJ B7C1 11-12,Acari spp,0226-HIJ B7C1 11-12,208.753876
68,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0227-HIJ B7C1 11-12,Acari spp,0227-HIJ B7C1 11-12,95.025558
69,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0229-HIJ B7C1 11-12,Acari spp,0229-HIJ B7C1 11-12,179.522476
70,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0230-HIJ B7C1 11-12,Acari spp,0230-HIJ B7C1 11-12,70.558861
71,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0234-HIJ B7C1 11-12,Acari spp,0234-HIJ B7C1 11-12,72.549965
72,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0256-HIJ B7C1 11-12,Acari spp,0256-HIJ B7C1 11-12,163.686249
73,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0257-HIJ B7C1 11-12,Acari spp,0257-HIJ B7C1 11-12,88.313255
74,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0258-HIJ B7C1 11-12,Acari spp,0258-HIJ B7C1 11-12,81.317574
75,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0260-HIJ B7C1 11-12,Acari spp,0260-HIJ B7C1 11-12,80.092102
76,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0261-HIJ B7C1 11-12,Acari spp,0261-HIJ B7C1 11-12,54.460995
77,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0262-HIJ B7C1 11-12,Acari spp,0262-HIJ B7C1 11-12,322.534912
78,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0264-HIJ B7C1 11-12,Acari spp,0264-HIJ B7C1 11-12,152.803207
79,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0265-HIJ B7C1 11-12,Acari spp,0265-HIJ B7C1 11-12,80.528664
80,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0266-HIJ B7C1 11-12,Acari spp,0266-HIJ B7C1 11-12,100.97644
82,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0268-HIJ B7C1 11-12,Acari spp,0268-HIJ B7C1 11-12,148.858093
83,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0269-HIJ B7C1 12-13,Acari spp,0269-HIJ B7C1 12-13,95.623032
84,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0276-HIJ B7C1 12-13,Acari spp,0276-HIJ B7C1 12-13,151.754303
85,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0277-HIJ B7C1 12-13,Acari spp,0277-HIJ B7C1 12-13,148.989075
86,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0278-HIJ B7C1 12-13,Acari spp,0278-HIJ B7C1 12-13,76.463615
87,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0285-HIJ B7C1 12-13,Acari spp,0285-HIJ B7C1 12-13,112.206635
88,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0286-HIJ B7C1 12-13,Acari spp,0286-HIJ B7C1 12-13,76.22467
89,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0292-HIJ B7C1 12-13,Acari spp,0292-HIJ B7C1 12-13,85.278526
90,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0294-HIJ B7C1 12-13,Acari spp,0294-HIJ B7C1 12-13,64.623466
91,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0295-HIJ B7C1 12-13,Acari spp,0295-HIJ B7C1 12-13,66.108826
92,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0296-HIJ B7C1 12-13,Acari spp,0296-HIJ B7C1 12-13,69.324333
93,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0299-HIJ B7C1 12-13,Acari spp,0299-HIJ B7C1 12-13,189.664047
94,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0300-HIJ B7C1 12-13,Acari spp,0300-HIJ B7C1 12-13,125.83522
95,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0301-HIJ B7C1 12-13,Acari spp,0301-HIJ B7C1 12-13,97.053253
96,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0303-HIJ B7C1 12-13,Acari spp,0303-HIJ B7C1 12-13,85.412071
97,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0304-HIJ B7C1 12-13,Acari spp,0304-HIJ B7C1 12-13,112.323486
98,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0309-HIJ B7C1 12-13,Acari spp,0309-HIJ B7C1 12-13,113.007607
99,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0313-HIJ B7C1 12-13,Acari spp,0313-HIJ B7C1 12-13,86.709679
100,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0328-HIJ B7C1 12-13,Acari spp,0328-HIJ B7C1 12-13,210.873749
101,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0330-HIJ B7C1 12-13,Acari spp,0330-HIJ B7C1 12-13,74.542656
102,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0331-HIJ B7C1 12-13,Acari spp,0331-HIJ B7C1 12-13,105.045135
103,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0332-HIJ B7C1 12-13,Acari spp,0332-HIJ B7C1 12-13,119.437943
104,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0348-HIJ B7C1 12-13,Acari spp,0348-HIJ B7C1 12-13,139.924255
105,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0350-HIJ B7C1 12-13,Acari spp,0350-HIJ B7C1 12-13,93.39769
106,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0351-HIJ B7C1 12-13,Acari spp,0351-HIJ B7C1 12-13,94.60791
107,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0354-HIJ B7C1 12-13,Acari spp,0354-HIJ B7C1 12-13,102.572311
108,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0355-HIJ B7C1 12-13,Acari spp,0355-HIJ B7C1 12-13,114.483963
109,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0356-HIJ B7C1 12-13,Acari spp,0356-HIJ B7C1 12-13,106.800163
111,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0358-HIJ B7C1 12-13,Acari spp,0358-HIJ B7C1 12-13,108.435158
112,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0359-HIJ B7C1 12-13,Acari spp,0359-HIJ B7C1 12-13,80.449738
113,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0360-HIJ B7C1 12-13,Acari spp,0360-HIJ B7C1 12-13,79.650459
114,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0375-HIJ B7C1 12-13,Acari spp,0375-HIJ B7C1 12-13,81.985947
115,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0378-HIJ B7C1 12-13,Acari spp,0378-HIJ B7C1 12-13,77.176254
116,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0379-HIJ B7C1 12-13,Acari spp,0379-HIJ B7C1 12-13,90.600029
117,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0384-HIJ B7C1 12-13,Acari spp,0384-HIJ B7C1 12-13,196.709366
118,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0426-HIJ B7C1 14-15,Acari spp,0426-HIJ B7C1 14-15,132.082825
119,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0477-HIJ B7C1 14-15,Acari spp,0477-HIJ B7C1 14-15,122.223656
120,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0486-HIJ B7C1 14-15,Acari spp,0486-HIJ B7C1 14-15,154.814865
121,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0488-HIJ B7C1 14-15,Acari spp,0488-HIJ B7C1 14-15,119.26606
122,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0646-HIJ B7C1 17-18,Acari spp,0646-HIJ B7C1 17-18,162.460739
123,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\0740-HIJ B7C1 18-19,Acari spp,0740-HIJ B7C1 18-19,52.15583
124,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\1360-HIJ B7C1 26-27 4ml.czi - ScanRegion4.jpg,Acari spp,1360-HIJ B7C1 26-27 ,128.787476
125,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\1496-HIJ B7C1 27-28,Acari spp,1496-HIJ B7C1 27-28,98.963028
127,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\1677-HIJ B7C1 4-5,Acari spp,1677-HIJ B7C1 4-5,65.548042
128,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\1678-HIJ B7C1 4-5,Acari spp,1678-HIJ B7C1 4-5,105.650764
129,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\1741-HIJ B7C1 6-7,Acari spp,1741-HIJ B7C1 6-7,105.280838
130,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\1751-HIJ B7C1 6-7,Acari spp,1751-HIJ B7C1 6-7,158.430603
131,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\1752-HIJ B7C1 6-7,Acari spp,1752-HIJ B7C1 6-7,64.782089
132,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\1761-HIJ B7C1 6-7,Acari spp,1761-HIJ B7C1 6-7,144.197647
133,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\1776-HIJ B7C1 6-7,Acari spp,1776-HIJ B7C1 6-7,130.358978
134,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\1777-HIJ B7C1 6-7,Acari spp,1777-HIJ B7C1 6-7,152.62973
135,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\1778-HIJ B7C1 6-7,Acari spp,1778-HIJ B7C1 6-7,100.91983
137,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\1814-HIJ B7C1 7-8,Acari spp,1814-HIJ B7C1 7-8,116.597862
138,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\1816-HIJ B7C1 7-8,Acari spp,1816-HIJ B7C1 7-8,116.960983
139,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\1898-HIJ B7C1 8-9,Acari spp,1898-HIJ B7C1 8-9,75.650536
140,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\1906-HIJ B7C1 8-9,Acari spp,1906-HIJ B7C1 8-9,144.174606
141,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\1907-HIJ B7C1 8-9,Acari spp,1907-HIJ B7C1 8-9,152.052597
142,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\1911-HIJ B7C1 8-9,Acari spp,1911-HIJ B7C1 8-9,151.756531
143,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\1914-HIJ B7C1 8-9,Acari spp,1914-HIJ B7C1 8-9,148.629395
144,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\1916-HIJ B7C1 8-9,Acari spp,1916-HIJ B7C1 8-9,141.558533
145,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\1928-HIJ B7C1 8-9,Acari spp,1928-HIJ B7C1 8-9,87.944283
147,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\1930-HIJ B7C1 8-9,Acari spp,1930-HIJ B7C1 8-9,82.075874
148,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\1934-HIJ B7C1 8-9,Acari spp,1934-HIJ B7C1 8-9,143.626526
149,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\1942-HIJ B7C1 8-9,Acari spp,1942-HIJ B7C1 8-9,197.135605
150,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\1957-HIJ B7C1 8-9,Acari spp,1957-HIJ B7C1 8-9,194.288162
151,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\1966-HIJ B7C1 8-9,Acari spp,1966-HIJ B7C1 8-9,137.404221
152,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\2013-HIJ B7C1 8-9,Acari spp,2013-HIJ B7C1 8-9,154.41716
153,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\2085-HIJ B7C1 15-16,Acari spp,2085-HIJ B7C1 15-16,96.589394
154,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\2175-HIJ B7C1 24-25 4.25ml.czi - ScanRegion8.jpg,Acari spp,2175-HIJ B7C1 24-25 ,228.554062
155,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\2276-HIJ B7C1 28-30,Acari spp,2276-HIJ B7C1 28-30,94.818268
156,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\2367-HIJ B7C1 30-31,Acari spp,2367-HIJ B7C1 30-31,145.760391
157,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\2649-HIJ B7C1 33-34,Acari spp,2649-HIJ B7C1 33-34,121.305939
158,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\2650-HIJ B7C1 33-34,Acari spp,2650-HIJ B7C1 33-34,203.825806
159,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\3101-HIJ B7C1 37-38,Acari spp,3101-HIJ B7C1 37-38,155.606567
160,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\3161-HIJ B7C1 37-38,Acari spp,3161-HIJ B7C1 37-38,134.539459
161,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\3163-HIJ B7C1 37-38,Acari spp,3163-HIJ B7C1 37-38,141.03476
162,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\3167-HIJ B7C1 37-38,Acari spp,3167-HIJ B7C1 37-38,130.621109
163,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\3171-HIJ B7C1 37-38,Acari spp,3171-HIJ B7C1 37-38,77.069504
166,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\3185-HIJ B7C1 37-38,Acari spp,3185-HIJ B7C1 37-38,101.885887
167,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\3196-HIJ B7C1 37-38,Acari spp,3196-HIJ B7C1 37-38,93.109741
168,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\3200-HIJ B7C1 37-38,Acari spp,3200-HIJ B7C1 37-38,47.216259
169,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\3311-HIJ B7C1 39-40,Acari spp,3311-HIJ B7C1 39-40,196.817245
170,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\3328-HIJ B7C1 39-40,Acari spp,3328-HIJ B7C1 39-40,74.759468
171,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\3332-HIJ B7C1 39-40,Acari spp,3332-HIJ B7C1 39-40,170.25708
172,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\3345-HIJ B7C1 40-41,Acari spp,3345-HIJ B7C1 40-41,125.447113
173,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\3349-HIJ B7C1 40-41,Acari spp,3349-HIJ B7C1 40-41,99.774582
174,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\3351-HIJ B7C1 40-41,Acari spp,3351-HIJ B7C1 40-41,180.789566
176,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\3415-HIJ B7C1 42-43,Acari spp,3415-HIJ B7C1 42-43,208.018463
177,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\3456-HIJ B7C1 44-45,Acari spp,3456-HIJ B7C1 44-45,146.538498
178,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\3466-HIJ B7C1 44-45,Acari spp,3466-HIJ B7C1 44-45,147.789413
179,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\3469-HIJ B7C1 44-45,Acari spp,3469-HIJ B7C1 44-45,163.777405
180,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\3470-HIJ B7C1 44-45,Acari spp,3470-HIJ B7C1 44-45,119.910042
181,D:\insectPtemp_repo\images\Hijkermeer\images_20250717_210044\Acari\3471-HIJ B7C1 44-45,Acari spp,3471-HIJ B7C1 44-45,105.684113
